district,timestamp,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds,weather_main,weather_desc
Erode,2025-04-07 21:00:00,28.33,30.33,28.33,28.33,1009,63,3.24,153,100,Clouds,overcast clouds
Erode,2025-04-08 00:00:00,26.68,28.68,26.68,26.68,1011,75,1.99,147,83,Clouds,broken clouds
Erode,2025-04-08 03:00:00,29.26,31.65,29.26,29.26,1013,61,2.44,167,14,Clouds,few clouds
Erode,2025-04-08 06:00:00,34.57,35.89,34.57,34.57,1011,38,1.33,161,22,Clouds,few clouds
Erode,2025-04-08 09:00:00,37.06,37.29,37.06,37.06,1007,28,1.92,52,21,Clouds,few clouds
Erode,2025-04-08 12:00:00,36.96,36.87,36.96,36.96,1006,27,1.57,108,17,Clouds,few clouds
Erode,2025-04-08 15:00:00,33.92,33.73,33.92,33.92,1009,33,2.57,141,34,Clouds,scattered clouds
Erode,2025-04-08 18:00:00,29.77,31.68,29.77,29.77,1012,56,4.36,134,63,Rain,light rain
Erode,2025-04-08 21:00:00,28.29,30.14,28.29,28.29,1010,62,4.12,131,98,Clouds,overcast clouds
Erode,2025-04-09 00:00:00,26.78,28.49,26.78,26.78,1011,70,1.62,129,75,Rain,light rain
Erode,2025-04-09 03:00:00,29.5,31.91,29.5,29.5,1012,60,3.11,176,84,Clouds,broken clouds
Erode,2025-04-09 06:00:00,34.36,37.21,34.36,34.36,1010,44,1.11,256,82,Clouds,broken clouds
Erode,2025-04-09 09:00:00,37.56,38.38,37.56,37.56,1006,29,0.7,75,60,Clouds,broken clouds
Erode,2025-04-09 12:00:00,37.1,37.08,37.1,37.1,1005,27,3.12,37,59,Clouds,broken clouds
Erode,2025-04-09 15:00:00,30.44,32.45,30.44,30.44,1008,54,5.03,265,86,Clouds,overcast clouds
Erode,2025-04-09 18:00:00,30.26,32.92,30.26,30.26,1009,58,3.19,228,85,Clouds,overcast clouds
Erode,2025-04-09 21:00:00,28.23,30.98,28.23,28.23,1007,69,3.54,241,95,Clouds,overcast clouds
Erode,2025-04-10 00:00:00,26.9,29.09,26.9,26.9,1007,75,2.9,258,83,Clouds,broken clouds
Erode,2025-04-10 03:00:00,29.48,32.05,29.48,29.48,1009,61,2.57,246,100,Clouds,overcast clouds
Erode,2025-04-10 06:00:00,34.99,36.9,34.99,34.99,1008,39,2.75,261,92,Clouds,overcast clouds
Erode,2025-04-10 09:00:00,38.3,38.97,38.3,38.3,1003,27,3.27,209,58,Clouds,broken clouds
Erode,2025-04-10 12:00:00,32.7,33.52,32.7,32.7,1003,41,5.64,252,51,Rain,light rain
Erode,2025-04-10 15:00:00,30.87,32.8,30.87,30.87,1006,52,6.48,241,100,Clouds,overcast clouds
Erode,2025-04-10 18:00:00,28.89,31.0,28.89,28.89,1007,61,5.75,240,92,Clouds,overcast clouds
Erode,2025-04-10 21:00:00,27.29,29.26,27.29,27.29,1006,69,5.91,246,86,Clouds,overcast clouds
Erode,2025-04-11 00:00:00,26.93,28.66,26.93,26.93,1007,69,4.71,251,87,Clouds,overcast clouds
Erode,2025-04-11 03:00:00,28.68,30.37,28.68,28.68,1009,59,3.55,260,72,Clouds,broken clouds
Erode,2025-04-11 06:00:00,31.54,33.54,31.54,31.54,1008,50,2.09,292,71,Clouds,broken clouds
Erode,2025-04-11 09:00:00,35.01,36.37,35.01,35.01,1005,37,2.22,269,69,Clouds,broken clouds
Erode,2025-04-11 12:00:00,36.25,36.81,36.25,36.25,1004,31,3.5,313,44,Clouds,scattered clouds
Erode,2025-04-11 15:00:00,30.44,31.89,30.44,30.44,1007,51,7.02,238,80,Rain,light rain
Erode,2025-04-11 18:00:00,28.19,30.36,28.19,28.19,1008,65,6.76,245,90,Clouds,overcast clouds
Erode,2025-04-11 21:00:00,27.12,28.97,27.12,27.12,1007,69,4.26,244,98,Clouds,overcast clouds
Erode,2025-04-12 00:00:00,27.07,28.89,27.07,27.07,1008,69,2.98,239,100,Clouds,overcast clouds
Erode,2025-04-12 03:00:00,28.99,30.72,28.99,28.99,1010,58,5.21,263,90,Clouds,overcast clouds
Madurai,2025-04-07 06:00:00,32.45,35.47,32.45,32.45,1010,51,0.83,82,100,Clouds,overcast clouds
Madurai,2025-04-07 09:00:00,33.49,36.11,33.49,35.58,1009,46,2.56,93,100,Clouds,overcast clouds
Madurai,2025-04-07 12:00:00,34.14,35.94,34.14,34.98,1007,41,5.19,69,100,Clouds,overcast clouds
Madurai,2025-04-07 15:00:00,30.11,34.12,30.11,30.11,1009,65,5.26,146,100,Rain,light rain
Madurai,2025-04-07 18:00:00,29.17,32.91,29.17,29.17,1011,69,2.39,146,95,Clouds,overcast clouds
Madurai,2025-04-07 21:00:00,28.15,31.24,28.15,28.15,1009,72,2.51,94,100,Clouds,overcast clouds
Madurai,2025-04-08 00:00:00,27.01,29.48,27.01,27.01,1010,77,1.94,84,96,Clouds,overcast clouds
